,Year,Month,Carrier,Count,WEATHER_DELAY,Avg
526,2015,06,WN,6728,16308.0,2.4239001189060643
527,2015,06,YV,0,0.0,0.0
528,2015,07,9E,0,0.0,0.0
529,2015,07,AA,6605,15817.0,2.3947009841029523
530,2015,07,AS,800,610.0,0.7625
531,2015,07,B6,1185,1715.0,1.4472573839662448
532,2015,07,DL,5221,14493.0,2.775904999042329
533,2015,07,EV,514,698.0,1.3579766536964981
534,2015,07,F9,1164,452.0,0.38831615120274915
535,2015,07,FL,0,0.0,0.0
536,2015,07,MQ,638,1991.0,3.1206896551724137
537,2015,07,NK,1164,963.0,0.8273195876288659
538,2015,07,OO,1758,2378.0,1.3526734926052333
539,2015,07,UA,5214,8188.0,1.5703874184886844
540,2015,07,US,0,0.0,0.0
541,2015,07,VX,981,1901.0,1.9378185524974516
542,2015,07,WN,7011,11163.0,1.5922122379118528
543,2015,07,YV,0,0.0,0.0
544,2015,08,9E,0,0.0,0.0
545,2015,08,AA,5956,18887.0,3.1710879785090667
546,2015,08,AS,1070,2466.0,2.304672897196262
547,2015,08,B6,1128,3206.0,2.8421985815602837
